rocket,name,geometry_method,reference_area,initial_radius,thickness,final_radius,length,body_diameter,weight,position,material,body_type,name,geometry_method,thickness,root_chord,tip_chord,spanwise_length,sweep_length,sweep_angle,height,max_body_diameter,position,material,weight,body_type,number_of_fins,Mach,reference_area
"altura:1,18/3 aletas/80%/sem canard",nose,body,reference_area,0,"0,003","0,02545","0,16","0,0509",70,0,glass_fiber,von karman,fin,fin,"0,0023","0,144","0,04","0,136","0,128",29,"10,2","0,0509","1,196",glass_fiber,"162,8852",rounded,3,"0,66",reference_area
,fuselage,body,reference_area,"0,02545","0,003","0,02545","1,18","0,0509","693,436992","0,16",glass_fiber,cylinder,canard,0,0,0,0,0,0,0,0,"0,0509","0,3",0,"26,3000",0,0,0,0
,boattail,body,reference_area,"0,02545","0,003","0,02","0,05","0,0509",20,"1,34",glass_fiber,cone,,,,,,,,,,,,,,,,,
"altura:1,18/4 aletas/80%/com canard",nose,body,reference_area,0,"0,003","0,02545","0,16","0,0509",70,0,glass_fiber,von karman,fin,fin,"0,0023","0,144","0,04","0,136","0,128",29,"10,2","0,0509","1,196",glass_fiber,"217,1803",rounded,4,"0,66",reference_area
,fuselage,body,reference_area,"0,02545","0,003","0,02545","1,18","0,0509","693,436992","0,16",glass_fiber,cylinder,canard,fin,"0,0023","0,049","0,014","0,063","0,07",26,10,"0,0509","0,3",glass_fiber,"26,3000",rounded,3,"0,66",reference_area
,boattail,body,reference_area,"0,02545","0,003","0,02","0,05","0,0509",20,"1,34",glass_fiber,cone,,,,,,,,,,,,,,,,,
"altura:1,18/3 aletas/80%/com canard",nose,body,reference_area,0,"0,003","0,02545","0,16","0,0509",70,0,glass_fiber,von karman,fin,fin,"0,0023","0,144","0,04","0,136","0,128",29,"10,2","0,0509","1,196",glass_fiber,"162,8852",rounded,3,"0,66",reference_area
,fuselage,body,reference_area,"0,02545","0,003","0,02545","1,18","0,0509","693,436992","0,16",glass_fiber,cylinder,canard,fin,"0,0023","0,049","0,014","0,063","0,07",26,10,"0,0509","0,3",glass_fiber,"26,3000",rounded,3,"0,66",reference_area
,boattail,body,reference_area,"0,02545","0,003","0,02","0,05","0,0509",20,"1,34",glass_fiber,cone,,,,,,,,,,,,,,,,,
"altura:1,18/3 aletas/60%/com canard",nose,body,reference_area,0,"0,003","0,02545","0,16","0,0509",70,0,glass_fiber,von karman,fin,fin,"0,0023","0,108","0,03","0,102","0,096",29,"10,2","0,0509","1,262",glass_fiber,"91,6229",rounded,3,"0,66",reference_area
,fuselage,body,reference_area,"0,02545","0,003","0,02545","1,21","0,0509","711,066746","0,16",glass_fiber,cylinder,canard,fin,"0,0023","0,049","0,014","0,063","0,07",26,10,"0,0509","0,3",glass_fiber,"26,3000",rounded,3,"0,66",reference_area
,boattail,body,reference_area,"0,02545","0,003","0,02","0,05","0,0509",20,"1,37",glass_fiber,cone,,,,,,,,,,,,,,,,,
"altura:1,21/4 aletas/60%/com canard",nose,body,reference_area,0,"0,003","0,02545","0,16","0,0509",70,0,glass_fiber,von karman,fin,fin,"0,0023","0,108","0,03","0,102","0,096",29,"10,2","0,0509","1,262",glass_fiber,"122,1639",rounded,4,"0,66",reference_area
,fuselage,body,reference_area,"0,02545","0,003","0,02545","1,21","0,0509","711,066746","0,16",glass_fiber,cylinder,canard,fin,"0,0023","0,049","0,014","0,063","0,07",26,10,"0,0509","0,3",glass_fiber,"26,3000",rounded,3,"0,66",reference_area
,boattail,body,reference_area,"0,02545","0,003","0,02","0,05","0,0509",20,"1,37",glass_fiber,cone,,,,,,,,,,,,,,,,,
"altura:1,21/3 aletas/60%/sem canard",nose,body,reference_area,0,"0,003","0,02545","0,16","0,0509",70,0,glass_fiber,von karman,fin,fin,"0,0023","0,108","0,03","0,102","0,096",29,"10,2","0,0509","1,262",glass_fiber,"91,6229",rounded,3,"0,66",reference_area
,fuselage,body,reference_area,"0,02545","0,003","0,02545","1,21","0,0509","711,066746","0,16",glass_fiber,cylinder,canard,0,0,0,0,0,0,0,0,"0,0509","0,3",0,"26,3000",0,0,0,0
,boattail,body,reference_area,"0,02545","0,003","0,02","0,05","0,0509",20,"1,37",glass_fiber,cone,,,,,,,,,,,,,,,,,
"altura:1,21/3 aletas/60%/sem canard",nose,body,reference_area,0,"0,003","0,02545","0,16","0,0509",70,0,glass_fiber,von karman,fin,fin,"0,0023","0,108","0,03","0,102","0,096",29,"10,2","0,0509","1,262",glass_fiber,"91,6229",rounded,3,"0,66",reference_area
,fuselage,body,reference_area,"0,02545","0,003","0,02545","1,21","0,0509","711,066746","0,16",glass_fiber,cylinder,canard,0,0,0,0,0,0,0,0,"0,0509","0,3",0,"26,3000",0,0,0,0
,boattail,body,reference_area,"0,02545","0,003","0,02","0,05","0,0509",20,"1,37",glass_fiber,cone,,,,,,,,,,,,,,,,,
"altura:1,21/3 aletas/70%/com canard",nose,body,reference_area,0,"0,003","0,02545","0,16","0,0509",70,0,glass_fiber,von karman,fin,fin,"0,0023","0,126","0,035","0,119","0,112",29,"10,2","0,0509","1,244",glass_fiber,"124,7090",rounded,3,"0,66",reference_area
